K,K_not_updated,L_leap,N,T,accept_reject_step,agent,agent_name,alpha,b,batch_size,context_size,d,epsilon,eta,exp_name,lambda,lambda_reg,m_inner,nb_arms,project_name,smooth_s,std_prior,std_reward,step_size,task_type
,,,1,10000,,EpsGreedy,EpsGreedy,,,,4,20,0.01,,results/toy/epsgreedy/,,,,5,Lin_EpsGreedy,,,0.5,,linear
25,1,10,1,10000,,FGHMCTS,FGHMCTS,,1000,,4,20,,1,results/toy/hmc/,0.5,,,5,Lin_FGHMCTS,,0.01,0.5,0.1,linear
25,1,10,1,10000,,PHMCTS,PHMCTS,,,,4,20,,1,results/toy/phmc/,,1.0,,5,Lin_PHMCTS,,0.01,0.5,0.1,linear
25,1,,1,10000,,PFGLMCTS,PFGLMCTS,,1000,,4,20,,1,results/toy/pfglmc/,0.5,1.0,,5,Lin_PFGLMCTS,,0.01,0.5,0.1,linear
25,1,,1,10000,20,SFGMALATS,SFGMALATS,,1000,,4,20,,1,results/toy/sfgmala/,0.5,,,5,Lin_SFGMALATS,10.0,0.01,0.5,0.1,linear
25,1,,1,10000,20,MALATS,MALATS,,1000,,4,20,,1,results/toy/mala/,,,,5,Lin_MALATS,,0.01,0.5,0.1,linear
25,1,,1,10000,,SVRGLMCTS,SVRGLMCTS,,,64,4,20,,1,results/toy/svrg_lmc/,,,10,5,Lin_SVRGLMCTS,,0.01,0.5,0.1,linear
25,1,,1,10000,,SFGLMCTS,SFGLMCTS,,1000,,4,20,,1,results/toy/sfglmc/,0.5,,,5,Lin_SFGLMCTS,10.0,0.01,0.5,0.1,linear
25,1,,1,10000,,LMCTS,LMCTS,,1000,,4,20,,1,results/toy/lmc/,,,,5,Lin_LMCTS,,0.01,0.5,0.1,linear
25,1,10,1,10000,,PSFGHMCTS,PSFGHMCTS,,1000,,4,20,,1,results/toy/psfghmc/,0.5,1.0,,5,Lin_PSFGHMCTS,10.0,0.01,0.5,0.1,linear
,,,1,10000,,LinTS,LinTS,,,,4,20,,1,results/toy/lints/,,,,5,Lin_LinTS,,0.01,0.5,,linear
25,1,10,1,10000,,PFGHMCTS,PFGHMCTS,,1000,,4,20,,1,results/toy/pfghmc/,0.5,1.0,,5,Lin_PFGHMCTS,,0.01,0.5,0.1,linear
25,1,,1,10000,,SVRGMALATS,SVRGMALATS,,,64,4,20,,1,results/toy/svrg_mala/,,,10,5,Lin_SVRGMALATS,,0.01,0.5,0.1,linear
25,1,10,1,10000,,SFGHMCTS,SFGHMCTS,,1000,,4,20,,1,results/toy/sfghmc/,0.5,,,5,Lin_SFGHMC,10.0,0.01,0.5,0.1,linear
25,1,,1,10000,,FGLMCTS,FGLMCTS,,1000,,4,20,,1,results/toy/fglmc/,0.5,,,5,Lin_FGLMC,,0.01,0.5,0.1,linear
,,,1,10000,,LinUCB,LinUCB,1,,,4,20,,,results/toy/linucb1/,,,,5,Lin_LinUCB,,0.01,0.5,,linear
25,1,,,10000,,PLMCTS,PLMCTS,,,,4,20,,1,results/toy/plmc/,,1.0,,5,Lin_PLMCTS,,0.01,0.5,0.1,linear
25,1,10,1,10000,,HMCTS,HMCTS,,,,4,20,,1,results/toy/hmc/,,,,5,Lin_HMC,,0.01,0.5,0.1,linear
25,1,,1,10000,,PSFGLMCTS,PSFGLMCTS,,1000,,4,20,,1,results/toy/psfglmc/,0.5,1.0,,5,Lin_PSFGLMCTS,10.0,0.01,0.5,0.1,linear
25,1,,1,10000,20,FGMALATS,FGMALATS,,1000,,4,20,,1,results/toy/fg_mala/,0.5,,,5,Lin_FGMALATS,,0.01,0.5,0.1,linear
